français;anglais;variante_anglais;genre;classe
Métallisation;Metallisation;en_uk;f;nom
Métallisation;Metallization;en_us;f;nom
Microblogage;Microblogging;;m;nom
Microblogue;Microblog;;m;nom
Microblogue;Thread;;m;nom
Microcontrôleur;Microcontroller;;m;nom
Micromiroir;Micromirror;;m;nom
Micro-onde;Microwave;;f;nom
Microordinateur;Microcomputer;;m;nom
Microphone sans fil;Wireless microphone;;;nom
Micropoutre;Microcantilever;;f;nom
Microprocesseur;Microprocessor;;m;nom
Microprogramme;Firmware;;m;nom
Microsoudeuse de puces;Die bonder;;;nom
Microstation terrienne;Very small aperture terminal (VSAT);;f;nom
Microstation;Very small aperture terminal (VSAT);;f;nom
Microsystème électromécanique;Micro- electromechanical system (MEMS);;;nom
Microsystème optoélectromécanique;Micro-opto- electromechanical system (MOEMS);;;nom
Micro-usinage;Micromachining;;m;nom
Micro-usinage de surface;Surface micromachining;;;nom
Micro-usinage de volume;Bulk micromachining;;;nom
Minimessage;Short message;;m;nom
Mise à niveau;Upgrade;;;nom
Mise en attente;Call hold;;;nom
Mise en attente;Hold;;;nom
Mise en boîtier;Encapsulation;;;nom
Mise en boîtier;Packaging;;;nom
Mode de transfert asynchrone;Asynchronous transfer mode (ATM);;;nom
Mode dialogué;Conversational mode;;;nom
Modèle;Template;;m;nom
Modem;Modem;;m;nom
Modérateur, -trice;Moderator;;;nom
Modulation à spectre étalé;Spread spectrum modulation;;;nom
Modulation à spectre étalé;Spread spectrum transmission;;;nom
Modulation à spectre étalé à sauts de fréquence;Fhss modulation;;;nom
Modulation à spectre étalé à sauts de fréquence;Frequency hopping spread spectrum modulation;;;nom
Modulation  sesf;Fhss modulation;;;nom
Modulation  sesf;Frequency hopping spread spectrum modulation;;;nom
Modulation à spectre étalé à séquence directe;Direct sequence spread spectrum modulation;;;nom
Modulation à spectre étalé à séquence directe;Dsss modulation;;;nom
Modulation  sesd;Direct sequence spread spectrum modulation;;;nom
Modulation  sesd;Dsss modulation;;;nom
Modulation d’impulsions en amplitude (MIA);Pulse amplitude modulation (PAM);;;nom
Modulation d’impulsions en durée (MID);Pulse width modulation (PWM);;;nom
Modulation d’impulsions en position (MIP);Pulse position modulation (PPM);;;nom
Modulation par impulsions et codage (MIC);Pulse code modulation (PCM);;;nom
Module d’extension;Plug-in;;f;nom
Extension;Plug-in;;f;nom
Module  multipuce;Multi- chip module (MCM);;;nom
Montage en surface;Surface mounting;;;nom
Montage en surface;Surface mount technology (SMT);;;nom
Montant, -e;Upstream;;;adjectif
Morphose;Morphing;;f;nom
Mot clé;Key word;;;nom
Mot-dièse;Hashtag;;m;nom
Moteur de recherche;Search engine;;;nom
Moteur d’exécution;Runtime software;;;nom
Moteur d’inférence;Inference engine;;;nom
Motif;Pattern;;m;nom
Multibande;Multiband;;m;adjectif
Multifil;Multithreading;;m;adjectif
Multifil simultané;Simultaneous multithreading (smt);;;locution adjective
Multimédia;Multimedia;;;adjectif
Multiplex;Multiplex;;m;adjectif
Multiplexage;Multiplexing;;m;nom
Multiplexage dans le temps;Time-division multiplexing (TDM);;;nom
Multiplexage par répartition dans le temps (MRT);Time-division multiplexing (TDM);;;nom
Multiplexage en code;Code division multiplexing (CDM);;;nom
Multiplexage par répartition en code (MRC);Code division multiplexing (CDM);;;nom
Multiplexage en fréquence;Frequency division multiplexing (FDM);;;nom
Multiplexage par répartition en fréquence (MRF);Frequency division multiplexing (FDM);;;nom
Multiplexage en longueur d’onde;Dense wavelength division multiplexing (DWDM);;;nom
Multiplexage par répartition en longueur d’onde (MRL);Dense wavelength division multiplexing (DWDM);;;nom
Multiplexer;Multiplex (to);;;verbe
Multiplexeur;Multiplexer;;m;nom
Multiprocesseur;Multiprocessor;;m;nom
Multitâche;Multitask;;;adjectif
Multitraitement;Multiprocessing;;m;nom
Neurone artificiel;Artificial neuron;;;nom
Neurone artificiel;Artificial neurone;;;nom
Nommage;Naming;;m;nom
Nuage;Cloud;;m;nom
Numérique;Digital;;;adjectif
Numérique;Numeric;;;adjectif
Numérique;Numerical;;;adjectif
Numériser;Digitize (to);;;verbe
Numériseur;Digitizer;;m;nom
Numériseur;Scanner;;m;nom
Numéro conservable;Portable number;;;nom
Numéro d’urgence;Hot line;;;nom
Numéro d’urgence;Hotline;;;nom
Numéros multiples;Multiple subscriber number (MSN);;;nom
Obligation de diffusion;Must carry;;;nom
Octet;Byte;;m;nom
Office d’enregistrement;Tld registrar;;;nom
Office d’enregistrement;Top-level domain registrar;;;nom
Offre groupée;Bundle;;;nom
Offre groupée;Package;;;nom
Opérateur de télécommunication;Operating body;;m;nom
Opérateur de télécommunication;Operator;;m;nom
Opérateur;Operating body;;m;nom
Opérateur;Operator;;m;nom
Opérateur de téléphonie mobile sans réseau;Mobile virtual network operator (MVNO);;;nom
Option d’adhésion (à);Opt-in;;;locution adjective
Option de retrait (à);Opt-out;;;locution adjective
Optoélectronique;Optoelectronics;;f;nom
Optoélectronique;Optronics;;f;nom
Ordinateur;Computer;;m;nom
Ordinateur de bureau;Desktop;;;nom
Ordinateur de bureau;Desktop computer;;;nom
Ordinateur de poche;Palmtop computer;;;nom
Ordinateur de poche;Pocket computer;;;nom
Ordinateur individuel;Personal computer (PC);;;nom
Ordinateur portable;Lap top computer;;;nom
Ordinateur portable;Portable computer;;;nom
Ouverture des données;Open data;;;nom
Ouverture des données;Open data policy;;;nom
Page d’accueil;Home page;;;nom
Page d’accueil;Homepage;;;nom
Page sur la toile;Web page;;;nom
Page sur la toile;Webpage;;;nom
Paiement à la séance;Pay-per-view;;;nom
Pair à pair;Peer-to-peer (P2P, P-to-P);;;nom
Panne;Fault;;f;nom
Papier électronique;Electronic paper;;;nom
Papier électronique;E-paper;;;nom
Paquet;Packet;;m;nom
Parcours sur la toile;Clickstream;;;nom
Pas;Pitch;;m;nom
Pas;Spacing;;m;nom
Passerelle;Gateway;;f;nom
Pastillage;Chip-on-board process;;m;nom
Pastillage;Cob process;;m;nom
Pastille;Land;;f;nom
Pavé tactile;Touch pad;;;nom
Pavé tactile;Track pad;;;nom
Pédopiégeage;Child grooming;;m;nom
Pédopiégeage;Grooming;;m;nom
Péritéléphonie;Peritelephony;;f;nom
Péritélévision;Television environment;;f;nom
Permutation;Swap;;f;nom
Perturbation électromagnétique;Electromagnetic disturbance;;;nom
Photonique;Photonic;;;adjectif
Photonique;Photonics;;f;nom
Pièce jointe;Attachment;;;nom
Pièce jointe;Attachment file;;;nom
Pilote de périphérique;Driver;;;nom
Pirate;Cracker;;m;nom
Pixel;Picture element (pel);;m;nom
Pixel;Pixel (pel) [picture est souvent abrégé en pic ou en pix];;m;nom
Placement;Placement;;m;nom
Plage d’accueil;Mounting land;;;nom
Plage d’accueil;Mounting pad;;;nom
Plan de masse;Floorplan;;;nom
Plateforme à haute altitude (PHA);High altitude platform (HAP);;;nom
Plateforme à haute altitude (PHA);High altitude radio platform;;;nom
Plateforme à haute altitude (PHA);Stratospheric platform;;;nom
Plot de contact;Bump contact;;m;nom
Plot;Bump contact;;m;nom
Pointeur;Pointer;;m;nom
Polarisation;Bias;;f;nom
Polarisation;Biasing;;f;nom
Polarisation d’une antenne;Polarisation;en_uk;;nom
Polarisation d’une antenne;Polarization;en_us;;nom
Police de caractères;Font;;f;nom
Police;Font;;f;nom
Pont;Bridge;;m;nom
Ponteuse;Wire bonder;;f;nom
Portail;Portal;;m;nom
Porte;Gate;;f;nom
Porteuse;Carrier;;f;nom
Portier;Gatekeeper;;m;nom
Poste téléphonique sans cordon;Cordless telephone;;;nom
Présentation de la ligne appelante;Caller id;;;nom
Présentation de la ligne appelante;Calling line identification presentation (CLIP);;;nom
Présentation de la ligne obtenue;Connected line identification presentation (COLP);;;nom
Prêt à l’emploi;Plug-and-play (pnp);;;locution adjective
Processeur;Processor;;m;nom
Processeur bicœur;Dual core;;m;nom
Processeur bicœur;Dual core processor;;m;nom
Bicœur;Dual core;;m;nom
Bicœur;Dual core processor;;m;nom
Processeur multicœur;Multicore;;;nom
Processeur multicœur;Multicore processor;;;nom
Processeur quadricœur;Quad core;;;nom
Processeur quadricœur;Quad core processor;;;nom
Processeur vectoriel;Array processor;;;nom
Production participative;Crowdsourcing;;;nom
Progiciel;Package;;m;nom
Programmation par objets;Object-oriented programming;;;nom
Protocole;Protocol;;m;nom
Publication assistée par ordinateur (PAO);Desktop publishing;;;nom
Publier;Post (to);;;verbe
Puce;Chip;;f;nom
Puce;Die;;f;nom
Puce retournée;Flip-chip;;;nom
Puce-système;System on chip (soc);;f;nom
Quadruple service;Quadruple play;;;nom
Quantité d’information;Information content;;;nom
Raccourci au clavier;Hot key;;;nom
Radiobalise;Radio beacon;;f;nom
Radiocommande;Radio-control;;f;nom
Radiodiffusion;Radio broadcasting;;f;nom
Radiodiffusion de données de service (RDS);Radio data system (RDS);;;nom
Radiodiffusion sonore;Sound broadcasting;;;nom
Radiodiffusion visuelle;Television broadcasting;;;nom
Radiogoniométrie;Radio direction finding;;f;nom
Radiogoniométrie;Radiogoniometry;;f;nom
Radioguidage;Radioguidance;;m;nom
Radio-identifiant;Radio frequency identification tag;;m;nom
Radio-identifiant;Rfid tag;;m;nom
Radio-identifiant actif (RIDA);Active RFID tag;;;nom
Radio-identifiant actif (RIDA);Active tag;;;nom
Radio-identifiant passif (RIDP);Passive RFID tag;;;nom
Radio-identifiant passif (RIDP);Passive tag;;;nom
Radio-identifiant semi-actif (RIDSA);Bap tag;;;nom
Radio-identifiant semi-actif (RIDSA);Battery-assisted passive tag;;;nom
Radio-identifiant semi-actif (RIDSA);Semi-passive tag;;;nom
Radio-identification (rid);Radio frequency identification (rfid);;f;nom
Radio intelligente (RI);Cognitive radio;;;nom
Radio logicielle (RL);Software-defined radio (SDR);;;nom
Radio logicielle (RL);Software radio;;;nom
Radiomessagerie bilatérale;Two-way messaging;;;nom
Radiomessagerie bilatérale;Two- way paging;;;nom
Radiomessagerie unilatérale;Display paging;;;nom
Radio par fibre (RPF);Radio-on-fiber (ROF);;;nom
Radio par fibre (RPF);Radio-over-fiber (ROF);;;nom
Radio par fibre (RPF);Wireless-on-fiber;;;nom
Rappel automatique;Automatic call-back (ACB);;;nom
Rappel automatique;Completion of calls to busy subscribers (CCBS);;;nom
Rappel d’enregistreur;Register recall;;;nom
Rapport d’onde stationnaire (ROS);Standing wave ratio (SWR);;;nom
Rapport d’onde stationnaire (ROS);Voltage standing wave ratio (VSWR);;;nom
Réalité de synthèse;Virtual reality;;;nom
Réamorcer;Reboot (to);;;verbe
Recherche participative;Living lab;;;nom
Recherche participative;Living laboratory;;;nom
Recherche en texte intégral;Full-text search;;;nom
Recherche individuelle;Pull technology;;;nom
Réémetteur;Rebroadcast station;;m;nom
Réémetteur;Relay station;;m;nom
Réémetteur bouche-trou;Gap filler;;;nom
Référentiel;Repository;;m;nom
Refus de présentation de la ligne appelante;Calling line identification restriction (CLIR);;;nom
Refus de présentation de la ligne obtenue;Connected line identification restriction (COLR);;;nom
Registraire;Dns registrar;;m;nom
Registraire;Domain name registrar;;m;nom
Registraire;Registrar;;m;nom
Réinitialiser;Reset (to);;;verbe
Relais de trames;Frame relay;;;nom
Relancer;Restart (to);;;verbe
Relationnel, -elle;Relational;;;adjectif
Renifleur;Sniffer;;m;nom
Renvoi des appels en cas d’occupation;Call forwarding busy (CFB);;;nom
Renvoi des appels en cas d’occupation;Call forward on busy (CFB);en_ca;;nom
Renvoi des appels sans réponse;Call forwarding no reply (CFNR);;;nom
Renvoi des appels sans réponse;Call forward-no answer;en_us;;nom
Renvoi systématique des appels;Call forwarding unconditional (CFU);;;nom
Répartition de l’usure;Wear leveling;en_us;;nom
Répartition de l’usure;Wear levelling;en_uk;;nom
Répertoire;Directory;;m;nom
Répéteur;Repeater (sur câble);;m;nom
Répéteur;Transponder (sur satellite);;m;nom
Répondeur;Transponder;;m;nom
Réseau;Array;;m;nom
Réseau d’accès;Access network;;;nom
Réseau d’accès;Local loop;;;nom
Réseau de stockage;Storage area network (SAN);;;nom
Réseau de télédistribution;Cabled distribution system;;;nom
Réseau d’infrastructure;Core network;;;nom
Réseau d’infrastructure;Infrastructure network;;;nom
Réseau informatique;Computer network;;m;nom
Réseau;Computer network;;m;nom
Réseau local;Local area network (LAN);;;nom
Réseau local d’entreprise (RLE);Local area network (LAN);;;nom
Réseau local de raccordement;–;;;nom
Réseau logique programmable;Programmable logic array (PLA);;;nom
Réseau logique programmable;Programmable logic device (PLD);;;nom
Réseau logique programmable par l’utilisateur;Field programmable logic array (FPLA);;;nom
Réseau neuronal;Neural network;;;nom
Réseau numérique à intégration de services (RNIS);Integrated services digital network (ISDN);;;nom
Réseau prédiffusé;Gate array;;;nom
Réseau privé virtuel (RPV);Virtual private network (VPN);;;nom
Réseau radioélectrique à ressources partagées;Trunked system;;;nom
Réseautique;Networking;;f;nom
Réseautique domestique;Home networking;;;nom
Restaurer;Reset (to);;;verbe
Restaurer;Restore (to);;;verbe
Retouche;Patch;;f;nom
Rétroappel international;Call-back;;m;nom
Rétroappel international;International call-back;;m;nom
Rétroappel;Call-back;;m;nom
Rétroappel;International call-back;;m;nom
Rétro-ingénierie;Reverse engineering;;f;nom
Rétrolien;Trackback;;m;nom
Rétrolien;Trackback link;;m;nom
Rétropublication;Reverse publishing;;f;nom
Réutilisation de fréquence;Frequency re-use;;;nom
Révision;Release;;f;nom
Riper;Rip (to);;;verbe
Robotique;Robotics;;f;nom
Routage;Routing;;m;nom
Routeur;Router;;m;nom
Saisie de schéma;Schematic capture;;;nom
Salle blanche;Clean room;;;nom
Scanneur;Scanner;;m;nom
Script;Macro;;m;nom
Script;Macrocommand;;m;nom
Script;Script;;m;nom
Scrutation;Polling;;f;nom
Secours (de);Back-up;;;locution adjective
Secours (de);Backup;;;locution adjective
Secours informatique;Back-up;;;nom
Secours informatique;Backup;;;nom
Sélection directe à l’arrivée (SDA);Direct dialing-in (DDI);en_us;;nom
Sélection directe à l’arrivée (SDA);Direct dialling-in (DDI);en_uk;;nom
Sélection directe à l’arrivée (SDA);Direct inward dialing (DID);en_us;;nom
Séquence de test;Test pattern;;;nom
Serveur;Server;;m;nom
Serveur mandataire;Proxy;;;nom
Serveur mandataire;Proxy server;;;nom
Service de kiosque;Kiosk service;;;nom
Service de kiosque;Premium rate service (PRS);;;nom
Service de la toile;Web service;;;nom
Service de libre appel;Freephone service;;;nom
Service de libre appel;Toll;;;nom
Service de messages multimédias;Multimedia message service (MMS);;;nom
Service de messages multimédias;Multimedia messaging service (MMS);;;nom
Service  de minimessages;Short message service (SMS);;;nom
Service  de minimessages;Short message system (SMS);;;nom
Service de recherche de personne;Paging service;;;nom
Service des mobiles;Mobile service;;;nom
Service gprs;General packet radio service (GPRS);;;nom
Service support;Bearer service;;;nom
Service unifié;Seamless service;;;nom
Sexto;Sex message;;m;nom
Sexto;Sex text;;m;nom
Shannon;Shannon;;m;nom
Signal analogique;Analog signal;en_us;;nom
Signal analogique;Analogue signal;en_uk;;nom
Signalisation d’usager à usager (SUU);User-to-user signaling (UUS);en_us;;nom
Signalisation d’usager à usager (SUU);User-to-user signalling (UUS);en_uk;;nom
Signal numérique;Digital signal;;;nom
Signature de virus;Virus signature;;;nom
Signet;Bookmark;;m;nom
Silicium étiré;Strained silicon;;;nom
Silicium sur isolant (SSI);Silicon on insulator (SOI);;;nom
Simulateur analogique;Analog simulator;en_us;;nom
Simulateur analogique;Analogue simulator;en_uk;;nom
Simulateur logique;Logic simulator;;;nom
Simulation;Simulation;;f;nom
Site;Web site;;m;nom
Site;Web-site;;m;nom
Site;Website;;m;nom
Société de conception;Design house;;;nom
Souris;Mouse;;f;nom
Sous-adressage;Sub-addressing (SUB);;m;nom
Station de base;Base station;;;nom
Station mobile;Mobile station;;;nom
Station mobile de transmission par satellite (SMTS);Digital satellite news gathering (DNSG);;;nom
Station pivot;Hub;;;nom
Station pivot;Hub station;;;nom
Station terrestre;Land station;;;nom
Station terrienne dépendante;Land station;;;nom
Substrat;Substrate;;m;nom
Surbrillance;Brightening;;f;nom
Surcadencer;Overclock (to);;;verbe
Survol;Browsing;;m;nom
Syndication;Syndication;;f;nom
Système cellulaire;Cellular system;;;nom
Système d’adressage par domaines;Domain name system (DNS);;;nom
Système d’appel d’urgence;Ecall;;;nom
Système de gestion de base de données (SGBD);Data base management system (DBMS);;;nom
Système de gestion de base de données (SGBD);Database management system (DBMS);;;nom
Système d’exploitation;Operating system;;;nom
Système d’identification automatique;Automatic identification system (AIS);;;nom
Système exclusif;Proprietary system;;;nom
Système expert;Expert system;;;nom
Système gsm;Global system for mobile communications (GSM);;;nom
Système gsm du rail;Global system for mobile communications for railways;;;nom
Système gsm du rail;Global system for mobile communications - railways (GSM-R);;;nom
Système umts;Universal mobile telecommunication system (UMTS);;;nom
Tablette;Pad;;f;nom
Tablette;Tablet;;f;nom
Tablette;Touch screen tablet;;f;nom
Tableur;Spreadsheet;;m;nom
Tableur;Spreadsheet programme;;m;nom
Tableur;Spreadsheet software;;m;nom
Tarif de règlement;Settlement rate;;;nom
Tarif de répartition;Accounting rate;;;nom
Tatouage numérique;Digital tattoo (marque);;;nom
Tatouage numérique;Digital tattooing;;;nom
Tatouage numérique;Watermark (marque);;;nom
Tatouage numérique;Watermarking;;;nom
Technique des courants porteurs en ligne;Powerline carrier (PLC);;;nom
Technique des courants porteurs en ligne;Powerline communication (PLC);;;nom
Technoloisir;Home entertainment;;m;nom
Téléassistance;Hot line;;f;nom
Téléassistance;Hotline;;f;nom
Téléassistant, -e;Hot liner;;;nom
Téléborne;Telepoint base station;;f;nom
Téléchargement;Downloading (téléchargement à partir d’un autre ordinateur);;m;nom
Téléchargement;Uploading (téléchargement vers un autre ordinateur);;m;nom
Télécommunication personnelle universelle;Universal personal telecommunication (UPT);;;nom
Téléconférence;Teleconferencing;;f;nom
Télécopie;Facsimile;;f;nom
Télécopie;Fax;;f;nom
Télécopie;Telecopy;;f;nom
Télécopie contrastée;Document facsimile telegraphy;;;nom
Télécopie nuancée;Picture facsimile telegraphy;;;nom
Télécopier;Fax (to);;;verbe
Télécopieur;Facsimile equipment;;m;nom
Télécopieur;Fax;;m;nom
Télécopieur;Fax machine;;m;nom
Télécopieur;Telecopier;;m;nom
Téléécriture;Telewriting;;f;nom
Téléimprimeur;Teleprinter;;m;nom
Téléimprimeur;Teletypewriter;;m;nom
Téléinformatique;Remote data processing;;f;nom
Téléinformatique;Telecomputing;;f;nom
Téléinformatique;Teleinformatics;;f;nom
Télémaintenance;Remote maintenance;;f;nom
Télématique;Telematics;;f;nom
Télématique;Telematics;;f;nom
Télémesure;Telemeasuring;;f;nom
Télémesure;Telemetering;;f;nom
Télémesure;Telemetry;;f;nom
Télémétrie;Range finding;;f;nom
Téléservice;Teleservice;;m;nom
Télétexte;Broadcast videography;;m;nom
Télétexte;Teletext;;m;nom
Télétraitement;Teleprocessing;;m;nom
Télétraitement par lots;Remote batch teleprocessing;;;nom
Télévision à accès conditionnel;Conditional access television;;;nom
Télévision à péage;Pay television;;;nom
Télévision à péage;Subscription television;;;nom
Télévision à péage;Toll television;;;nom
Télévision de rattrapage;Catch-up television;;;nom
Télévision de rattrapage;Catch-up TV;;;nom
Télévision en ligne;Webtelevision;;;nom
Télévision en ligne;Web TV;;;nom
Témoin de connexion;Cookie;;m;nom
Témoin;Cookie;;m;nom
Temps réel;Real time;;;nom
Terminal;Terminal;;m;nom
Terminal de poche (TP);Pda phone;;;nom
Terminal de poche (TP);Personal communicator;;;nom
Terminal de poche (TP);Smartphone;;;nom
Terminal de poche (TP);Wireless handheld device;;;nom
Testabilité;Testability;;f;nom
Test captcha ;Captcha;;;nom
Test captcha ;Captcha test;;;nom
Test captcha ;Completely automated public turing test to tell computers and humans apart;;;nom
Test de performance;Benchmark;;;nom
Test dynamique;Dynamic test;;;nom
Testeur;Tester;;m;nom
Test fonctionnel;Functional test;;;nom
Test intégré;Built-in self test;;;nom
Test statique;Static test;;;nom
Test structurel;Structural test;;;nom
Tête radio distante (TRD);Remote radio head (RRH);;;nom
Textopornographie;Sexting;;f;nom
Tirage;Hard copy;;m;nom
Toile d’araignée mondiale (TAM);Web;;f;nom
Toile d’araignée mondiale (TAM);World wide web (WWW);;f;nom
Toile mondiale;Web;;f;nom
Toile mondiale;World wide web (WWW);;f;nom
Toile;Web;;f;nom
Toile;World wide web (WWW);;f;nom
Toile sémantique;Semantic web;;;nom
Tolérance aux pannes;Fault tolerance;;;nom
Tolérant aux pannes;Fault tolerant;;;nom
Topologie;Layout;;f;nom
Tout en ligne;Multiband;;;locution adjective
Traducteur de test;Test postprocessor;;;nom
Traitement automatique de données;Automatic data processing (ADP);;;nom
Traitement de bout en bout (TTB);End-to-end processing;;;nom
Traitement de bout en bout (TTB);Straight-through processing (STP);;;nom
Traitement de texte;Text processing;;;nom
Traitement de texte;Word processing;;;nom
Traitement par lots;Batch processing;;;nom
Trame;Frame;;f;nom
Tranche;Slice;;f;nom
Tranche;Wafer;;f;nom
Transférer;Forward (to);;;verbe
Transfert;Hand-off;;m;nom
Transfert;Hand-over;;m;nom
Transfert de communication;Call transfer;;;nom
Transfert intercellulaire;Intercell hand- off;;;nom
Transfert intercellulaire;Intercell hand-over;;;nom
Transfert intracellulaire;Intracell hand-off;;;nom
Transfert intracellulaire;Intracell hand-over;;;nom
Transmission analogique;Analog transmission;en_us;;nom
Transmission analogique;Analogue transmission;en_uk;;nom
Transmission numérique;Digital transmission;;;nom
Transport du numéro;Number porting;;;nom
Triple service;Triple play;;;nom
Trou de liaison;Via;;;nom
Turbocode;Turbo code;;m;nom
Tutoriel;Tutorial;;m;nom
Ultralarge bande (ULB);Ultra wideband (UWB);;;locution adjective
Unité arithmétique logique (UAL);Arithmetic logic unit (ALU);;;nom
Unité de fabrication finale;Back-end;;;nom
Unité de fabrication finale;Back- end line;;;nom
Unité finale;Back-end;;;nom
Unité finale;Back- end line;;;nom
Unité de fabrication initiale;Front-end;;;nom
Unité de fabrication initiale;Front-end line;;;nom
Unité de stockage en réseau;Network attached storage (NAS);;;nom
Usurpation d’adresse électronique;E-mail spoofing;;;nom
Vecteur de test;Test vector;;;nom
Veille automatique;Sigint;;;nom
Veille automatique;Signal intelligence;;;nom
Ver;Worm;;m;nom
Vérificateur de prototype;Bench tester;;;nom
Vérification de la conformité aux règles d’interconnexion;Electrical rule checking (ERC);;;nom
Vérification des règles de conception (VRC);DRC/ERC;;;nom
Vérification des règles de dessin (VRD);Design rule checking (DRC);;;nom
Version;Release;;f;nom
Vidéo;Video;;;nom
Vidéo à la demande (VAD);Video on demand (VOD);;;nom
Vidéo à la demande par abonnement (VADA);Subscription video on demand (SVOD);;;nom
Vidéo à la demande en téléchargement définitif (VADTD);Electronic sell through (EST);;;nom
Vad en téléchargement définitif;Electronic sell through (EST);;;nom
Vidéofréquence;Videofrequency;;f;nom
Vidéographie;Videography;;f;nom
Vignette active;Web widget;;;nom
Vignette active;Widget;;;nom
Virus;Virus;;m;nom
Visioconférence;Videoconference;;f;nom
Visioconférence;Videophone conference;;f;nom
Visionneur;Viewer;;m;nom
Visiophone;Videophone;;m;nom
Visiophone;Visual telephone;;m;nom
Visiophonie;Videophony;;f;nom
Visite;Tour;;f;nom
Visite;Visit;;f;nom
Visualiser;Display (to);;;verbe
Voie de transmission;Channel;;;nom
Voie de transmission;Transmission channel;;;nom
Voix par le protocole de l’internet;Voice over internet protocol (VOIP);;;nom
Zone d’accès sans fil;Hot spot;;;nom
Zone ASFI;Hot spot;;;nom
